id,keywords,year,_title,_creation,_artist,_collection,_sitelinks
Q3998985,Charles I of England,1630,Charles I in Three Positions,1635,Anthony van Dyck,Windsor Castle,13
Q4009224,,1550,Naval Battle in the Gulf of Naples,1556,Pieter Brueghel the Elder,Galleria Doria Pamphilj,13
Q4089077,"Q2891286, bogatyr",1880,Heroes,1881-1898,Viktor Vasnetsov,Tretyakov Gallery,13
Q4148585,"autumn, girl, leaf, twilight",1850,Autumn Leaves,1856,John Everett Millais,Manchester Art Gallery,13
Q4380890,"Anna Jagiellon, Elizaveta Ostrogska, Germanico Malaspina of Lusuolo, Ipatii Potii, Jan Piotr Sapieha, Jan Zamoyski, Janusz Radziwiłł, Jerzy Mniszech, Mikołaj Wolski, Mikołaj Zebrzydowski, Piotr Skarga, Sigismund III Vasa, Stanisław Karnkowski, Stanisław Stadnicki, Władysław IV Vasa",1860,Skarga's Sermon,1864,Jan Matejko,National Museum in Warsaw,13
Q4681871,"Adele Bloch-Bauer, dress, décolletage, hat, standing, woman",1910,Adele Bloch-Bauer II,1912,Gustav Klimt,http://www.wikidata.org/.well-known/genid/79082d71ed7082f790a53fd8ff4bf1c6,13
Q4808368,"armpit, cloud, couch, curtain, drapery, earring, garter, hip, lying, mons pubis, mule, nudity, pubic hair removal, shoe, sky, stocking, waist, waist-length hair, window, woman",1860,Femme nue couchée,1862,Gustave Courbet,http://www.wikidata.org/.well-known/genid/d5c3a99bdae1cc7f4be1024c1db3999f,13
Q5121363,,1890,Circe Invidiosa,1892,John William Waterhouse,Art Gallery of South Australia,13
Q5296650,Thomas More,1520,Portrait of Sir Thomas More,1527,Hans Holbein the Younger,The Frick Collection,13
Q5526647,"World War I, mustard gas, soldier",1910,Gassed,1919,John Singer Sargent,Imperial War Museum London,13
Q5906548,,1630,Hercules Fighting the Nemean Lion,1634,Francisco de Zurbarán,Museo del Prado,13
Q3724913,,1910,En L'An 2000,1910,Jean-Marc Côté,,13
Q6025697,firearm,1770,Boys playing soldiers,1779,Francisco Goya,Museo del Prado,13
Q474198,woman,1640,Malle Babbe,1640-1646,Frans Hals,Gemäldegalerie,12
Q481454,"bench, man, umbrella, woman",1870,In the Conservatory,1879,Édouard Manet,Alte Nationalgalerie,12
Q470541,"burial, churchyard, convent, funeral, gravedigger, nun",1850,The Vale of Rest,1858-1859,John Everett Millais,National Gallery,12
Q431571,"Cupid, Eros, Erotes, Flora, Primula veris, Ranunculus, Syringa vulgaris, areola, arrow, bird's wing, brown hair, buttocks, cloud, contrapposto, daisy, flight, flower, grass, handbra, lying, man, mons pubis, navel, nipple, pubic hair removal, putto, rural area, sitting, sky, spring, waist-length hair, woman",1880,The Return of Spring,1886,William-Adolphe Bouguereau,Joslyn Art Museum,12
